pixel	count
1023	13569
1024	13025
1025	12424
1026	12158
1027	11998
1028	11141
1029	10763
1030	10614
1031	10525
1032	10026
1033	9813
1034	9696
1035	9663
1036	9569
1037	9350
1038	8986
1039	8806
1040	8254
1041	8539
1042	8479
1043	7900
1044	8127
1045	7721
1046	8105
1047	8355
1048	7967
1049	8191
1050	8368
1051	7936
1052	7579
1053	7452
1054	7402
1055	7589
1056	7863
1057	7538
1058	6400
1059	6140
1060	5889
1061	6002
1062	5644
1063	5094
1064	4877
1065	4439
1066	4365
1067	4527
1068	5331
1069	5753
1070	5024
1071	6155
1072	6597
1073	6570
1074	7349
1075	7656
1076	8178
1077	8469
1078	8403
1079	8761
1080	9110
1081	10093
1082	12289
1083	12319
1084	11499
1085	12592
1086	11244
1087	11638
1088	11514
1089	11366
1090	12034
1091	11946
1092	11619
1093	11831
1094	12171
1095	12454
1096	12201
1097	12506
1098	12156
1099	12471
1100	12514
1101	11762
1102	12413
1103	12486
1104	12830
1105	13046
1106	13284
1107	12923
1108	12034
1109	14610
1110	14411
1111	13833
1112	13478
1113	14417
1114	14710
1115	13969
1116	13408
1117	13147
1118	12968
1119	12961
1120	12254
1121	11521
1122	11300
1123	10889
1124	10779
1125	10032
1126	9798
1127	10212
1128	10150
1129	9625
1130	9780
1131	9051
1132	8698
1133	8694
1134	8596
1135	8557
1136	8384
1137	8296
1138	8311
1139	8190
1140	8092
1141	8222
1142	8028
1143	8717
1144	8733
1145	7757
1146	7741
1147	7787
1148	7818
1149	7871
1150	7790
1151	8060
1152	7605
1153	6372
1154	6154
1155	5261
1156	4209
1157	4326
1158	4021
1159	3724
1160	4420
1161	4611
1162	4515
1163	5152
1164	4552
1165	5844
1166	6339
1167	6989
1168	6248
1169	5827
1170	7082
1171	8353
1172	8969
1173	8876
1174	8828
1175	9495
1176	10526
1177	12652
1178	12732
1179	12689
1180	12380
1181	11937
1182	12239
1183	11703
1184	11539
1185	12090
1186	12563
1187	11951
1188	11959
1189	12393
1190	13154
1191	12709
1192	13073
1193	13457
1194	11972
1195	12801
1196	13391
1197	12424
1198	13111
1199	13015
1200	13695
1201	13668
1202	14217
1203	13279
1204	13177
1205	15821
1206	15290
1207	14512
1208	13912
1209	15403
1210	15176
1211	14372
1212	14280
1213	14201
1214	13838
1215	13489
1216	13467
1217	12859
1218	12325
1219	11776
1220	11805
1221	11308
1222	10703
1223	10139
1224	10116
1225	9998
1226	9751
1227	9691
1228	9690
1229	9411
1230	8865
1231	8840
1232	8924
1233	8490
1234	8549
1235	8576
1236	8546
1237	8326
1238	8519
1239	8129
1240	8227
1241	8744
1242	8627
1243	7981
1244	7956
1245	8240
1246	8019
1247	7741
1248	7968
1249	8038
1250	8330
1251	7160
1252	6089
1253	4114
1254	4499
1255	4571
1256	3849
1257	3364
1258	3315
1259	4786
1260	4752
1261	4237
1262	5549
1263	3589
1264	6089
1265	6118
1266	6368
1267	6806
1268	5980
1269	6691
1270	7956
1271	9213
1272	9619
1273	9040
1274	9412
1275	10126
1276	12779
1277	13011
1278	13213
1279	12451
1280	11987
1281	12714
1282	12726
1283	11589
1284	12383
1285	12843
1286	12473
1287	12712
1288	12506
1289	13535
1290	14040
1291	13458
1292	13991
1293	14215
1294	13914
1295	13620
1296	13221
1297	13741
1298	13843
1299	14240
1300	14479
1301	14915
1302	14931
1303	13745
1304	15759
1305	16875
1306	15844
1307	15065
1308	15206
1309	16462
1310	15169
1311	15551
1312	15422
1313	15144
1314	14204
1315	14625
1316	13991
1317	13543
1318	13231
1319	12964
1320	12458
1321	11876
1322	11884
1323	11144
1324	10962
1325	10527
1326	10639
1327	9911
1328	9749
1329	9708
1330	9824
1331	9296
1332	9136
1333	9114
1334	8795
1335	8871
1336	8974
1337	8847
1338	8602
1339	8579
1340	8501
1341	8580
1342	8723
1343	9163
1344	8084
1345	8004
1346	7913
1347	8797
1348	8154
1349	8093
1350	8113
1351	8346
1352	8699
1353	7653
1354	7604
1355	5417
1356	4784
1357	4928
1358	5153
1359	5395
1360	4597
1361	5365
1362	5580
1363	5457
1364	4927
1365	5500
1366	6432
1367	6247
1368	6464
1369	6401
1370	6846
1371	6331
1372	6773
1373	7040
1374	8862
1375	9901
1376	10129
1377	9963
1378	10860
1379	12814
1380	13412
1381	13555
1382	13001
1383	11254
1384	12704
1385	13170
1386	13105
1387	12799
1388	12981
1389	13126
1390	13278
1391	13942
1392	13995
1393	14216
1394	14546
1395	14143
1396	14644
1397	14169
1398	14657
1399	13737
1400	13826
1401	13845
1402	13867
1403	14904
1404	14760
1405	15307
1406	15587
1407	15380
1408	17651
1409	17685
1410	16763
1411	15737
1412	16920
1413	17296
1414	16261
1415	16364
1416	16151
1417	16380
1418	15541
1419	15235
1420	14982
1421	14537
1422	14131
1423	13675
1424	13237
1425	12681
1426	12352
1427	12189
1428	11683
1429	11328
1430	11158
1431	11002
1432	10322
1433	10036
1434	9654
1435	9722
1436	9239
1437	9518
1438	9526
1439	9653
1440	9240
1441	9235
1442	8852
1443	9096
1444	8859
1445	8827
1446	8668
1447	8951
1448	9017
1449	9321
1450	8145
1451	8429
1452	8315
1453	8365
1454	8543
1455	8523
1456	8459
1457	8360
1458	8548
1459	9140
1460	7490
1461	8009
1462	5966
1463	5264
1464	5683
1465	5563
1466	4970
1467	5466
1468	5057
1469	5381
1470	5851
1471	6561
1472	4427
1473	6679
1474	6584
1475	7440
1476	6253
1477	6574
1478	6626
1479	6736
1480	7096
1481	9233
1482	9717
1483	10659
1484	10859
1485	10385
1486	13289
1487	14066
1488	14294
1489	13840
1490	11018
1491	12913
1492	13701
1493	13901
1494	12386
1495	13294
1496	13781
1497	14042
1498	14101
1499	13878
1500	14224
1501	15141
1502	15005
1503	15585
1504	14922
1505	14738
1506	15807
1507	14205
1508	14221
1509	14778
1510	15009
1511	15423
1512	16240
1513	16648
1514	15970
1515	17241
1516	19397
1517	18616
1518	17086
1519	17264
1520	19410
1521	18629
1522	17646
1523	16728
1524	17497
1525	17388
1526	16437
1527	16417
1528	15849
1529	15233
1530	15439
1531	14849
1532	14059
1533	14048
1534	13160
1535	12931
1536	12765
1537	12165
1538	11485
1539	11547
1540	11263
1541	11130
1542	10814
1543	10433
1544	9819
1545	9767
1546	10040
1547	9962
1548	9637
1549	9379
1550	9466
1551	9307
1552	9302
1553	9363
1554	9260
1555	8763
1556	9177
1557	9424
1558	9727
1559	8754
1560	8489
1561	8530
1562	8508
1563	8318
1564	8768
1565	8454
1566	8383
1567	8758
1568	8704
1569	9265
1570	8101
1571	8151
1572	7949
1573	6260
1574	6030
1575	5678
1576	5381
1577	5065
1578	6015
1579	5720
1580	6004
1581	6186
1582	6619
1583	5419
1584	5965
1585	6925
1586	7337
1587	7602
1588	6489
1589	6726
1590	6974
1591	7418
1592	9544
1593	10109
1594	10495
1595	11358
1596	11578
1597	13267
1598	14787
1599	14869
1600	14847
1601	12610
1602	12676
1603	14120
1604	14208
1605	13710
1606	13281
1607	14397
1608	14208
1609	14791
1610	14352
1611	14674
1612	15375
1613	16248
1614	16018
1615	16459
1616	16438
1617	15765
1618	15876
1619	14530
1620	15196
1621	16214
1622	16767
1623	15581
1624	18018
1625	37679
1626	16939
1627	19580
1628	20903
1629	19493
1630	18877
1631	19399
1632	20419
1633	19902
1634	19186
1635	17794
1636	17810
1637	18224
1638	17953
1639	17385
1640	16886
1641	16786
1642	16452
1643	15784
1644	15386
1645	15309
1646	14571
1647	13948
1648	13661
1649	13273
1650	12675
1651	12397
1652	11906
1653	11949
1654	11610
1655	11251
1656	10841
1657	10525
1658	10058
1659	9819
1660	9924
1661	10043
1662	9852
1663	9806
1664	9808
1665	9697
1666	9486
1667	9944
1668	9070
1669	9243
1670	9806
1671	9687
1672	10516
1673	8730
1674	9335
1675	8722
1676	8727
1677	8844
1678	9002
1679	8728
1680	8617
1681	8972
1682	9229
1683	9226
1684	9667
1685	8096
1686	8067
1687	8516
1688	6079
1689	6514
1690	6215
1691	5424
1692	6022
1693	5995
1694	5384
1695	5731
1696	5951
1697	5569
1698	6415
1699	6430
1700	6977
1701	6202
1702	7488
1703	7059
1704	7171
1705	7656
1706	8737
1707	9868
1708	10352
1709	10871
1710	11495
1711	12468
1712	13878
1713	15410
1714	15731
1715	15694
1716	14121
1717	12321
1718	14725
1719	14944
1720	15332
1721	14067
1722	15473
1723	15064
1724	15766
1725	14819
1726	15609
1727	16126
1728	16780
1729	16241
1730	16847
1731	16953
1732	17057
1733	17252
1734	17090
1735	17425
1736	16634
1737	17333
1738	17181
1739	16372
1740	19597
1741	19153
1742	19827
1743	22000
1744	21994
1745	20612
1746	21077
1747	22097
1748	21373
1749	21812
1750	20965
1751	19570
1752	18900
1753	19293
1754	19395
1755	18924
1756	18401
1757	17546
1758	17505
1759	17409
1760	16203
1761	15791
1762	15921
1763	15355
1764	14819
1765	14260
1766	13643
1767	13315
1768	12746
1769	12483
1770	12398
1771	12436
1772	11739
1773	11450
1774	11705
1775	11170
1776	10276
1777	9960
1778	10308
1779	10291
1780	10285
1781	10078
1782	10408
1783	9603
1784	10119
1785	10051
1786	9617
1787	9778
1788	10034
1789	10343
1790	9779
1791	9220
1792	8835
1793	9002
1794	9228
1795	9108
1796	8781
1797	9202
1798	9274
1799	9309
1800	9492
1801	9632
1802	9822
1803	9654
1804	8875
1805	8187
1806	8711
1807	7099
1808	6832
1809	6768
1810	6307
1811	6718
1812	6579
1813	6143
1814	5860
1815	5932
1816	6521
1817	6614
1818	6814
1819	7157
1820	6949
1821	7239
1822	6326
1823	8217
1824	7987
1825	8419
1826	9775
1827	10842
1828	10951
1829	11538
1830	12380
1831	15055
1832	16150
1833	15914
1834	17001
1835	15008
1836	13904
1837	13968
1838	15266
1839	15816
1840	15810
1841	15055
1842	14764
1843	15892
1844	16194
1845	15730
1846	16485
1847	16507
1848	17620
1849	17528
1850	17739
1851	18048
1852	17054
1853	17785
1854	17841
1855	17721
1856	19324
1857	19140
1858	17516
1859	17157
1860	19216
1861	20055
1862	22235
1863	23569
1864	22802
1865	23157
1866	23833
1867	24069
1868	22832
1869	23086
1870	22242
1871	21488
1872	20705
1873	20063
1874	21083
1875	20549
1876	19505
1877	19517
1878	19030
1879	18330
1880	17991
1881	17515
1882	16816
1883	16385
1884	16057
