tgas.parallax	xhip.Plx
2.5531365952309795	3.42
2.890873999093798	3.21
19.253797032905016	20.45
4.859463121277298	4.25
1.3900331486523456	-0.51
1.0090562402059795	0.54
6.713005271174354	7.86
7.681349185753622	7.23
10.318343348385747	11.11
8.702988421574819	9.02
3.114468611355235	4.3
4.156775733717231	4.97
2.890567781309095	3.7
1.9489225888533674	2.44
3.461749370879671	4.46
16.85965993393558	15.68
3.2771177555964557	3.83
0.8690093234951549	0.14
3.329831782325236	4.17
1.8540054743573493	2.85
11.775376314446538	11.21
9.234006509363512	11.02
7.222247058228208	7.88
3.742433693787663	3.55
1.0368128153464018	2.01
4.5040289290179985	4.66
11.539634875282164	12.89
3.920256990735398	5.74
2.6542114454684214	0.34
13.644102065311998	13.12
8.21189586506306	9.45
2.5197213045817586	2.29
4.532642833883755	3.87
22.421779815437386	17.28
12.506981275366465	13.22
1.9806614152827038	2.56
8.759833128777922	10.24
1.19436885819286	3.95
2.519579415196464	3.42
2.293987819699464	0.2
2.9044595870256984	1.32
1.1698617888042309	0.03
2.528681893801623	3.83
8.993225301119908	8.66
1.998874621165761	2.46
3.738029447868762	3.7
4.300324916033764	5.03
11.164285120185395	13.49
11.358363676182911	12.91
3.196590004955892	2.7
5.3304181444892516	6.43
8.554652553572996	8.63
1.3053109270237495	1.73
1.9295808670241923	2.76
4.388772933748419	2.75
3.581214779417386	4.26
4.717284800800961	3.45
9.214785602256555	7.47
3.198020475950582	4.81
17.456065124887576	17.12
9.391543482420078	10.48
13.495745496424874	13.1
0.9935271536748005	2.53
17.72019951125457	17.54
10.933946450609602	11.26
2.219935304862451	0.49
6.684026442772902	8.36
7.036509046824355	7.32
4.246449845122036	4.35
1.3714151962007008	1.
7.397759173703515	5.51
3.8110859520745617	4.55
8.698953719105369	8.69
12.682620744150759	11.69
1.808533000495942	0.91
1.80176073508705	2.52
4.952965676390519	3.52
3.579867954426683	4.03
2.036823327785112	0.17
11.080850990462695	8.35
4.848503680254921	5.6
10.508292166621404	11.77
4.675792531626369	4.6
7.308626135648907	6.94
3.090495389764606	3.22
33.46749366545657	32.95
2.9509487061470447	3.77
4.6263215174034436	5.23
5.101361010491693	5.93
3.2373913897260698	5.44
2.983022260996149	4.41
25.868010327386365	26.18
1.0341645917745346	2.66
27.50518921329905	27.37
6.316218402357239	8.07
6.109879923349112	6.45
3.627878820676447	2.84
1.1542656971238932	-0.91
1.6211358653612986	0.48
4.001605588297254	3.15
2.2317553576481783	2.99
