name	lii	bii	distance
FSR 1651	307.3096	3.6103	 3602
Ruprecht 167	313.9212	2.0418	 2000
Alessi Teutsch 12	330.6618	-10.334	  700
Stock 13	290.5095	1.5958	 1577
Loden 336	291.3269	1.9628
ASCC 74	308.6624	3.5671	  550
Loden 143	285.3549	-0.8638	  600
Loden 2045	320.1112	-0.6261	 2056
NGC 3532	289.5708	1.3468	  492
FSR 1657	307.9299	3.7544	 5409
Loden 165	286.117	-0.3609	 1900
Carraro 1	286.2357	-0.2896	 1900
BH 91	284.0403	-1.6011	  740
Loden 1202	312.3021	2.838	 1063
NGC 3324	286.2283	-0.1884	 2317
BH 118	291.6032	2.3641	 1493
ESO 139 54	335.2822	-17.142	 1706
Loden 372	292.5555	2.7568	 1200
ASCC 60	285.671	-0.3223	  800
Ruprecht 108	308.2518	3.9836	  901
Ruprecht 90	285.4174	-0.4372	 6000
Loden 480	295.7134	3.6593	 1200
Loden 1171	311.7586	3.3189	  500
Lynga 3	321.0425	-0.7023	 4164
Loden 2158	323.0835	-1.9454	 6206
ESO 128 16	287.9357	1.1612	  900
ESO 129 19	291.2649	2.5809	 1791
NGC 3293	285.8562	0.0736	 2327
BH 84	282.055	-2.4166	 3370
Loden 1378	315.6737	2.1861	 1346
Ruprecht 89	284.9912	-0.3827	  750
Loden 28	282.2139	-2.2145	 3950
Loden 2159	323.0065	-1.7472	 6111
Loden 153	285.6766	0.0819	 2670
ESO 139 13	333.982	-13.8049	 1500
NGC 4337	299.313	4.556	 2600
BH 90	283.1275	-1.4558	 2572
NGC 6087	327.7258	-5.4257	  891
Collinder 220	284.5675	-0.342	 1547
ESO 141 47	338.9518	-26.1725	 1787
ESO 131 09	300.0259	4.872	 2276
Loden 1289	313.7688	3.2553	 1753
Loden 1177	311.8849	3.8373	 4167
NGC 1252	274.0839	-50.8313	  790
Westerlund 2	284.2758	-0.3359	 2850
ASCC 59	283.7837	-0.5128	  550
IC 2581	284.588	0.035	 2446
Collinder 292	325.0769	-2.6427	 1500
NGC 5715	317.5284	2.084	 1500
Trumpler 19	290.1715	2.8949	 1900
Ruprecht 91	286.8698	1.4918	  900
NGC 6005	325.78	-2.986	 2690
ASCC 55	280.616	-2.0923	 1100
IC 2488	277.8298	-4.4192	 1134
ESO 175 06	314.6419	3.9601	  550
Turner 7	316.4448	3.3086	 1800
Ruprecht 114	327.234	-3.4932	 2088
ASCC 61	286.4095	1.9372	 1700
Loden 89	284.3529	0.8676	  380
Loden 112	284.6869	1.1641	 2500
Lynga 5	324.7897	-1.1938	 1753
NGC 5662	316.937	3.3939	  666
Loden 27	282.171	-0.3346	 2628
BH 78	279.1588	-2.6067	 4602
FSR 1697	320.8113	1.5692	  912
NGC 5999	326.0083	-1.9249	 2050
Ruprecht 165	299.7573	6.2975	 2082
NGC 3033	279.5956	-2.0714	  922
Basel 20	277.7763	-3.6655	 2024
BH 92	282.9835	0.4376	 1249
Loden 189	286.6727	2.5893	  720
Ruprecht 75	276.7874	-4.4814	 4300
Hogg 2	279.8417	-1.7343	 1819
