hip	ecl_lon	ecl_lat	plx_diff	plx_diff_error	div	xhip_plx	xhip_plx_error	tgas_plx	tgas_plx_error
93383	286.9118320466181	25.026966496501238	3.2796689137556854	0.8411485461564286	3.8990365361051986	11.6	0.73	8.320331086244314	0.41788859364796455
104539	328.43825098285646	36.73816922158422	-7.722083718689752	1.980738090013603	3.8985889944877665	1.61	1.86	9.332083718689752	0.6809723791981102
43764	138.64759541395998	-24.178724912956042	-3.5072262092069377	0.8999112366409584	3.897302385397629	0.46	0.85	3.9672262092069377	0.2955338116572437
58773	181.3954329156197	-1.1712957515048952	3.7268162279885972	0.9564084323880616	3.8966785546663245	5.7	0.89	1.973183772011403	0.3501672308240584
20907	70.25868868840942	8.473408248335371	13.956860536862768	3.5848981777474656	3.8932376443763936	24.31	3.56	10.35313946313723	0.42177594148682795
18556	34.38235790015275	-65.83534678337105	2.2703881139955175	0.5832956053708642	3.8923456530278258	4.45	0.54	2.1796118860044826	0.22053064014998675
84008	93.71429424521081	71.80078931459263	1.8147528732456042	0.46629584786794526	3.891848665484024	6.07	0.39	4.255247126754396	0.2556008954187875
32146	102.00748193153309	-27.135347713140305	2.2467863700655855	0.5773525609212252	3.8915326996741944	15.14	0.46	12.893213629934415	0.34890683513267134
118141	357.32342316652563	-4.787420452288329	-3.5780007968631518	0.9198592954675657	3.889726194531142	4.95	0.84	8.528000796863152	0.37488814792960123
32611	109.85345400515727	-61.2660548955153	2.497405507158328	0.6421044599145878	3.8894068848089467	4.49	0.55	1.9925944928416723	0.3313580200360396
27911	88.66494909861005	-4.532425908748093	-10.285325146090058	2.6450407236339033	3.888531868030942	-6.7	2.63	3.585325146090058	0.2816743326640947
39884	124.3582536887199	-19.22123918929108	3.949488953755859	1.01627193627313	3.886252107127365	4.08	0.9	0.13051104624414123	0.47202610993072924
